Test 1 results in 309.9071 0.6044649 198.1151
Test 2 results in 268.0758 0.6999437 172.3664
Test 3 results in 350.6488 0.3925781 255.4808
Test 4 results in 318.8092 0.6995578 200.4223
Test 5 results in 235.9659 0.7590148 143.3703
Test 6 results in 319.2956 0.6459208 192.2766
Test 7 results in 330.0384 0.567835 208.7995
Test 8 results in 376.2565 0.2845488 266.3499
Test 9 results in 345.777 0.5521218 216.7007
Test 10 results in 314.7562 0.3171119 203.5656
Test 11 results in 313.2012 0.52216 207.5694
Test 12 results in 341.6968 0.2359263 227.3558
Test 13 results in 341.2085 0.6663232 215.6006
Test 14 results in 356.7047 0.5668092 223.4521
Test 15 results in 289.9825 0.58608 188.529
Test 16 results in 298.7233 0.6815942 198.3769
Test 17 results in 351.9119 0.7020426 216.316
Test 18 results in 330.6206 0.2909916 189.0206
Test 19 results in 283.3736 0.5190854 186.198
Test 20 results in 276.1353 0.4445319 177.6122
